Date,Open,High,Low,Close,Adj Close,Volume
2023-04-13,3969.806641,4055.000000,3969.806641,4055.000000,4055.000000,0
2023-04-14,3975.403809,4053.000000,3975.403809,4053.000000,4053.000000,0
2023-04-17,4002.952393,4053.000000,3972.526611,3956.053955,3956.053955,0
2023-04-18,3991.725586,4053.000000,3974.065186,4053.000000,4053.000000,0
2023-04-19,3970.862793,3975.921143,3970.862793,4056.000000,4056.000000,0
2023-04-20,3966.595215,4056.000000,3966.595215,3975.921143,3975.921143,0
2023-04-21,3979.124512,4053.000000,3979.124512,4053.000000,4053.000000,0
2023-04-24,3971.437744,4081.000000,3971.437744,4053.000000,4053.000000,0
2023-04-25,3964.120361,4089.000000,3964.120361,3967.241211,3967.241211,0
2023-04-26,4015.339844,4096.000000,4010.708496,4089.000000,4089.000000,0
2023-04-27,4007.858154,4015.209717,4007.858154,4096.000000,4096.000000,0
2023-04-28,4019.267090,4110.000000,4019.267090,4110.000000,4110.000000,0
2023-05-01,4016.009521,4016.009521,4016.009521,3971.070557,3971.070557,0
2023-05-02,4021.762939,4115.000000,4021.762939,4110.000000,4110.000000,0
2023-05-03,4005.736816,4115.000000,4005.736816,4115.000000,4115.000000,0
2023-05-04,4014.283936,4111.000000,4014.283936,4111.000000,4111.000000,0
2023-05-05,4042.153809,4112.000000,4029.061523,4112.000000,4112.000000,0
2023-05-08,4029.116211,4118.000000,4029.116211,4118.000000,4118.000000,0
2023-05-09,4052.812012,4118.000000,4039.179932,4118.000000,4118.000000,0
2023-05-10,4041.076172,4041.076172,4034.895508,4113.000000,4113.000000,0
2023-05-11,4018.121094,4110.000000,4018.121094,4113.000000,4113.000000,0
2023-05-12,4030.508057,4107.000000,4028.890625,4107.000000,4107.000000,0
2023-05-15,4044.740967,4105.000000,4034.831299,4012.980469,4012.980469,0
2023-05-16,4032.421143,4032.421143,4019.219482,4100.000000,4100.000000,0
2023-05-17,4028.185303,4100.000000,4019.126465,4102.000000,4102.000000,0
2023-05-18,4016.086426,4101.000000,4016.086426,4101.000000,4101.000000,0
2023-05-19,4033.006592,4101.000000,4018.159180,4100.000000,4100.000000,0
2023-05-22,4006.688477,4101.000000,4006.688477,4007.021729,4007.021729,0
2023-05-23,4016.093994,4018.031006,4016.093994,4102.000000,4102.000000,0
2023-05-24,4021.350586,4021.350586,4012.818848,4101.000000,4101.000000,0
2023-05-25,4018.455078,4018.455078,4015.457764,4100.000000,4100.000000,0
2023-05-26,4102.000000,4102.000000,4018.183350,4100.000000,4100.000000,0
2023-05-29,4027.966309,4027.966309,4017.728027,4026.257324,4026.257324,0
2023-05-30,4019.096680,4019.096680,4017.160400,4017.728027,4017.728027,0
2023-05-31,4016.206299,4020.335693,4016.206299,4106.000000,4106.000000,0
2023-06-01,4018.266602,4025.930908,4018.266602,4111.000000,4111.000000,0
2023-06-02,4007.637939,4025.767090,4007.637939,4025.930908,4025.930908,0
2023-06-05,4053.005127,4111.000000,4043.682617,4040.460449,4040.460449,0
2023-06-06,4033.985107,4037.437012,4033.985107,4120.000000,4120.000000,0
2023-06-07,4033.305664,4119.000000,4030.095215,4119.000000,4119.000000,0
2023-06-08,4034.103027,4120.000000,4034.103027,4120.000000,4120.000000,0
2023-06-09,4015.933838,4033.396484,4015.933838,4119.000000,4119.000000,0
2023-06-12,4041.842285,4116.000000,4038.865967,4034.183350,4034.183350,0
2023-06-13,4042.525391,4042.525391,4029.295654,4110.000000,4110.000000,0
2023-06-14,4030.397217,4030.397217,4024.895264,4110.000000,4110.000000,0
2023-06-15,4012.807129,4028.611084,4012.807129,4108.000000,4108.000000,0
2023-06-16,3988.669189,4023.004150,3988.669189,4107.000000,4107.000000,0
2023-06-19,4029.772949,4106.000000,4026.187988,4018.968506,4018.968506,0
2023-06-20,4026.741211,4105.000000,4026.741211,4105.000000,4105.000000,0
2023-06-21,4038.914307,4116.000000,4033.151611,4115.000000,4115.000000,0
2023-06-22,4007.826416,4115.000000,4007.826416,4115.000000,4115.000000,0
2023-06-23,4053.856689,4115.000000,4034.009277,4116.000000,4116.000000,0
2023-06-26,4020.082031,4026.642578,4019.013428,4008.961670,4008.961670,0
2023-06-27,4027.565674,4115.000000,4027.565674,4115.000000,4115.000000,0
2023-06-28,4031.109619,4036.898438,4031.109619,4115.000000,4115.000000,0
2023-06-29,4052.294678,4116.000000,4037.548340,4116.000000,4116.000000,0
2023-06-30,4058.696045,4122.000000,4038.663574,4120.000000,4120.000000,0
2023-07-03,4020.603027,4026.340820,4020.603027,4012.450195,4012.450195,0
2023-07-04,4023.905029,4038.048340,4023.905029,4118.000000,4118.000000,0
2023-07-05,4039.661865,4118.000000,4035.103760,4038.048340,4038.048340,0
2023-07-06,4047.396240,4119.000000,4037.555176,4119.000000,4119.000000,0
2023-07-07,4037.685059,4038.011230,4037.685059,4120.000000,4120.000000,0
2023-07-10,4011.181641,4121.000000,4011.181641,4006.376709,4006.376709,0
2023-07-11,4006.650391,4045.450928,4006.650391,4120.000000,4120.000000,0
2023-07-12,4034.069580,4036.444092,4034.069580,4116.000000,4116.000000,0
2023-07-13,3993.356445,4035.350830,3993.356445,4115.000000,4115.000000,0
2023-07-14,4017.767578,4035.752686,4017.767578,4117.000000,4117.000000,0
2023-07-17,4036.579590,4040.763672,4036.579590,4028.092529,4028.092529,0
2023-07-18,4038.355469,4041.193848,4038.355469,4117.000000,4117.000000,0
2023-07-19,4050.046631,4119.000000,4040.719238,4119.000000,4119.000000,0
2023-07-20,4039.008301,4040.972168,4039.008301,4119.000000,4119.000000,0
2023-07-21,4064.646484,4064.646484,4040.458496,4115.000000,4115.000000,0
2023-07-24,4039.133057,4057.183350,4037.699463,4036.829102,4036.829102,0
2023-07-25,4057.033447,4118.000000,4038.400635,4118.000000,4118.000000,0
2023-07-26,4034.472656,4117.000000,4034.472656,4117.000000,4117.000000,0
2023-07-27,4036.185791,4115.000000,4036.185791,4115.000000,4115.000000,0
2023-07-28,4094.512451,4120.000000,4031.558350,4115.000000,4115.000000,0
2023-07-31,4026.163818,4120.000000,4026.163818,4021.202393,4021.202393,0
2023-08-01,4050.708984,4120.000000,4040.808838,4120.000000,4120.000000,0
2023-08-02,4034.249268,4045.839355,4034.249268,4121.000000,4121.000000,0
2023-08-03,4054.844727,4054.844727,4041.244385,4045.839355,4045.839355,0
2023-08-04,4035.379150,4045.223145,4035.379150,4127.000000,4127.000000,0
2023-08-07,4019.945313,4030.752197,4019.945313,4018.156982,4018.156982,0
2023-08-08,4025.801514,4041.399658,4025.801514,4030.274902,4030.274902,0
2023-08-09,4041.215332,4043.625244,4041.215332,4041.399658,4041.399658,0
2023-08-10,4045.210205,4045.210205,4043.325928,4043.625244,4043.625244,0
2023-08-11,4058.063232,4058.063232,4043.298340,4043.325928,4043.325928,0
2023-08-14,4064.111572,4064.111572,4055.326416,4059.360840,4059.360840,0
2023-08-15,4066.926514,4066.926514,4042.621338,4124.000000,4124.000000,0
2023-08-16,4053.669922,4126.000000,4046.335449,4123.000000,4123.000000,0
2023-08-17,4063.683105,4126.000000,4043.123047,4126.000000,4126.000000,0
2023-08-18,4125.000000,4125.000000,4125.000000,4125.000000,4125.000000,0
2023-08-21,4037.962158,4134.000000,4037.127197,4033.420654,4033.420654,0
2023-08-22,4042.192139,4134.000000,4042.192139,4134.000000,4134.000000,0
2023-08-23,4066.000000,4066.000000,4051.403564,4135.000000,4135.000000,0
2023-08-24,4028.870850,4136.000000,4028.870850,4135.000000,4135.000000,0
2023-08-25,4076.093262,4076.093262,4058.893799,4135.000000,4135.000000,0
2023-08-28,4061.054688,4061.054688,4059.885498,4062.427734,4062.427734,0
2023-08-29,4054.690674,4058.561035,4054.690674,4059.885498,4059.885498,0
2023-08-30,4035.748535,4066.986816,4035.748535,4058.561035,4058.561035,0
2023-08-31,4048.516357,4066.296875,4048.516357,4066.986816,4066.986816,0
2023-09-01,4079.241211,4079.241211,4066.993408,4066.296875,4066.296875,0
2023-09-04,4092.368164,4092.368164,4079.177490,4085.204834,4085.204834,0
2023-09-05,4083.958252,4135.000000,4068.570313,4083.220703,4083.220703,0
2023-09-06,4150.000000,4150.000000,4058.995850,4072.687256,4072.687256,0
2023-09-07,4068.308838,4141.000000,4056.117188,4141.000000,4141.000000,0
2023-09-08,4054.281006,4140.000000,4050.474365,4140.000000,4140.000000,0
2023-09-11,4046.259033,4135.000000,4044.124512,4046.296631,4046.296631,0
2023-09-12,4036.822021,4036.822021,4030.372559,4110.000000,4110.000000,0
2023-09-13,4013.234863,4021.861084,4013.234863,4103.000000,4103.000000,0
2023-09-14,4018.472412,4018.472412,4007.991699,4103.000000,4103.000000,0
2023-09-15,4043.488770,4100.000000,4016.667236,4100.000000,4100.000000,0
2023-09-18,4010.569824,4105.000000,4010.569824,4009.931152,4009.931152,0
2023-09-19,4013.509277,4114.000000,4013.509277,4124.000000,4124.000000,0
2023-09-20,4036.669678,4110.000000,4028.696289,4110.000000,4110.000000,0
2023-09-21,4053.971436,4102.000000,4020.199707,4102.000000,4102.000000,0
2023-09-22,4015.125977,4105.000000,4015.125977,4105.000000,4105.000000,0
2023-09-25,4013.177002,4019.902100,4013.177002,4006.183594,4006.183594,0
2023-09-26,4041.911865,4107.000000,4022.253662,4107.000000,4107.000000,0
2023-09-27,4036.099609,4105.000000,4025.247803,4105.000000,4105.000000,0
2023-09-28,4036.023682,4108.000000,4023.724854,4108.000000,4108.000000,0
2023-09-29,4013.327393,4031.949951,4013.327393,4105.000000,4105.000000,0
2023-10-02,4044.792725,4108.000000,4038.486084,4036.272705,4036.272705,0
2023-10-03,4062.203125,4117.000000,4032.870361,4117.000000,4117.000000,0
2023-10-04,4032.697021,4116.000000,4027.107422,4116.000000,4116.000000,0
2023-10-05,4024.408691,4118.000000,4022.535400,4118.000000,4118.000000,0
2023-10-06,4018.289063,4033.072021,4018.289063,4015.812988,4015.812988,0
2023-10-09,4025.575928,4029.229248,4025.575928,4014.147705,4014.147705,0
2023-10-10,4013.583496,4038.142822,4013.583496,4029.229248,4029.229248,0
2023-10-11,4028.913818,4038.507813,4028.913818,4122.000000,4122.000000,0
2023-10-12,4030.010986,4121.000000,4030.010986,4121.000000,4121.000000,0
2023-10-13,4066.741699,4066.741699,4034.056152,4120.000000,4120.000000,0
2023-10-16,4034.190430,4120.000000,4034.190430,4035.763428,4035.763428,0
2023-10-17,4025.237061,4117.000000,4025.237061,4117.000000,4117.000000,0
2023-10-18,4027.601563,4032.040283,4027.601563,4115.000000,4115.000000,0
2023-10-19,4038.333740,4121.000000,4035.073486,4032.040283,4032.040283,0
2023-10-20,4027.308838,4121.000000,4027.308838,4121.000000,4121.000000,0
2023-10-23,4037.102783,4120.000000,4037.102783,4030.364502,4030.364502,0
2023-10-24,4014.991699,4042.638184,4010.219727,4120.000000,4120.000000,0
2023-10-25,4054.640869,4054.640869,4044.635742,4121.000000,4121.000000,0
2023-10-26,4050.151123,4123.000000,4046.185059,4123.000000,4123.000000,0
2023-10-27,4038.002441,4045.911133,4038.002441,4123.000000,4123.000000,0
2023-10-30,4039.457275,4127.000000,4037.476807,4033.271973,4033.271973,0
2023-10-31,4031.292725,4039.162598,4031.292725,4125.000000,4125.000000,0
2023-11-01,4034.792480,4034.792480,4034.792480,4125.000000,4125.000000,0
2023-11-02,4015.965820,4029.498291,4015.965820,4122.000000,4122.000000,0
2023-11-03,4040.518066,4122.000000,4030.467773,4029.498291,4029.498291,0
2023-11-06,4003.673584,4121.000000,4002.311523,4000.000000,4000.000000,0
2023-11-07,4036.226074,4118.000000,4030.910400,4118.000000,4118.000000,0
2023-11-08,4027.310059,4120.000000,4027.310059,4120.000000,4120.000000,0
2023-11-09,4019.790771,4110.000000,4019.790771,4110.000000,4110.000000,0
2023-11-10,4037.744385,4105.000000,4028.334961,4105.000000,4105.000000,0
